name,airport_code
El Eden International Airport,AXM
El Tari Airport,KOE
El Tepual International Airport,PMC
Eldoret International Airport,EDL
Elista Airport,ESL
Eloy Alfaro International Airport,MEC
Enfidha-Hammamet International Airport,NBE
Enrique Malek International Airport,DAV
Entebbe International Airport,EBB
Eppley Airfield,OMA
Erbil International Airport,EBL
Ercan International Airport,ECN
Erhac Airport,MLX
Erik Nielsen Whitehorse International Airport,YXY
Erkilet Airport,ASR
Ernesto Cortissoz International Airport,BAQ
Esenboga International Airport,ESB
Eurico de Aguiar Salles Airport,VIX
EuroAirport Basel-Mulhouse-Freiburg,EAP
EuroAirport Basel-Mulhouse-Freiburg,BSL
Exeter International Airport,EXT
Exuma International Airport,GGT
Faa'a International Airport,PPT
Fairbanks International Airport,FAI
Faisalabad International Airport,LYP
Faleolo International Airport,APW
Faro Airport,FAO
Fascene Airport,NOS
Federal de Bachigualato International Airport,CUL
Federico Fellini Airport,RMI
Fertilia Airport,AHO
Fes-Saiss Airport,FEZ
Figari Sud-Corse Airport,FSC
Findel Airport,LUX
Fontanarossa Airport,CTA
Fort Lauderdale-Hollywood International Airport,FLL
Francisco Bangoy International Airport,DVO
Francisco Sa Carneiro Airport,OPO
Francisco Sarabia International Airport,TRC
Francistown Airport,FRW
Franjo Tudman Airport,ZAG
Frank Pais Airport,HOG
Frankfurt Airport,FRA
Frankfurt-Hahn Airport,HHN
Frederic Chopin Airport,WAW
Fresno Yosemite International Airport,FAT
Friedrichshafen Airport,FDH
Friuli Venezia Giulia Airport,TRS
Fua'amotu International Airport,TBU
Fuerteventura Airport,FUE
Fukuoka Airport,FUK
Funafuti International Airport,FUN
Fuzhou Changle International Airport,FOC
Galileo Galilei Airport,PSA
Gan International Airport,GAN
Gander International Airport,YQX
Ganja International Airport,KVD
Garons Airport,FNI
Garowe International Airport,GGR
Gatwick Airport,LGW
Gautam Buddha Airport,BWA
Gautama Buddha International Airport,KNR
Gaya International Airport,GAY
Gdansk Lech Walesa Airport,GDN
General Francisco J. Mujica International Airport,MLM
General Francisco Javier Mina International Airport,TAM
General Guadalupe Victoria International Airport,DGO
General Heriberto Jara International Airport,VER
General Juan N. Alvarez International Airport,ACA
General Leobardo C. Ruiz International Airport,ZCL
General Mariano Escobedo International Airport,MTY
General Mitchell International Airport,MKE
General Rafael Buelna International Airport,MZT
General Santos International Airport,GES
Geneva International Airport,GVA
George Best Belfast City Airport,BHD
George Bush Intercontinental Airport,IAH
Gimhae International Airport,PUS
Gimpo International Airport,GMP
Girona-Costa Brava Airport,GRO
Glasgow International Airport,GLA
Glasgow Prestwick Airport,PIK
Goa International Airport,GOI
Gold Coast Airport,OOL
Goloson International Airport,LCE
Goma International Airport,GOM
Gomel Airport,GME
"Gostomel Airport (cargo only, serving Kiev)",GML
Goteborg Landvetter Airport,GOT
Gothenburg City Airport,GSE
Governador Jorge Teixeira de Oliveira International Airport,PVH
Governor Francisco Gabrielli International Airport,MDZ
Gral. Abelardo L. Rodriguez International Airport,TIJ
Gran Canaria Airport,LPA
Granada Airport,GRX
Grand Bahama International Airport,FPO
Grantley Adams International Airport,BGI
Graz Airport,GRZ
Greater Moncton International Airport,YQM
Greater Rochester International Airport,ROC
Gregorio Luperon International Airport,POP
Grenoble-Isere Airport,GNB
Groningen Airport Eelde,GRQ
Grozny Airport,GRV
Guangzhou Baiyun International Airport,CAN
Guarani International Airport,AGT
Guararapes International Airport,REC
Guernsey Airport,GCI
Guilin Liangjiang International Airport,KWL
Guiyang Longdongbao Airport,KWE
Gustaf III Airport,SBH
Gustavo Rojas Pinilla International Airport,ADZ
Gwadar International Airport,GWD
Gyor-Per International Airport,QGY
Habib Bourguiba International Airport,MIR
Haifa Airport,HFA
Haikou Meilan International Airport,HAK
Hakodate Airport,HKD
Halifax Stanfield International Airport,YHZ
Haluoleo Airport,KDI
Hamad International Airport,DOH
Hamburg Airport,HAM
Hamid Karzai International Airport,KBL
Haneda International Airport,HND
Hangzhou Xiaoshan International Airport,HGH
Harare International Airport,HRE
Harbin Taiping International Airport,HRB
Hargeisa International Airport,HGA
Harry Mwanga Nkumbula International Airport,LVI
Hartsfield-Jackson Atlanta International Airport,ATL
Hasanuddin International Airport,UPG
Hassan I Airport,EUN
Hat Yai International Airport,HDY
Haugesund Airport,HAU
Hazrat Shahjalal International Airport,DAC
Heathrow Airport,LHR
Hefei Xinqiao International Airport,HFE
Helsinki-Vantaa Airport,HEL
Henri Coanda International Airport,OTP
Henry E. Rohlsen Airport,STX
Heraklion International Airport,HER
Herat International Airport,HEA
Hercilio Luz International Airport,FLN
Hermanos Serdan International Airport,PBC
Hermosillo International Airport,HMO
Heviz-Balaton Airport,SOB
Hewanorra International Airport,UVF
Heydar Aliyev International Airport,GYD
Hihifo Airport,WLS
Hilo International Airport,ITO
Hiroshima Airport,HIJ
Hobart International Airport,HBA
Hong Kong International Airport,HKG
Honiara International Airport,HIR
Honolulu International Airport,HNL
Houari Boumedienne Airport,ALG
Hrodna Airport,GNA
Huesca-Pirineos Airport,HSK
Hugo Chavez International Airport,CAP
Huizhou Pingtan Airport,HUZ
Huntsville International Airport,HSV
Hurghada International Airport,HRG
Husein Sastranegara International Airport,BDO
Hyeres Le Palyvestre Airport,TLN
Iasi International Airport,IAS
Ibiza Airport,IBZ
Ignacio Agramonte International Airport,CMW
Ignatyevo Airport,BQS
Ile de Re Airport,LRH
Iloilo International Airport,ILO
Ilulissat Airport,JAV
Imphal International Airport,IMF
Incheon International Airport,ICN
Indianapolis International Airport,IND
Indira Gandhi International Airport,DEL
Ingeniero Ambrosio L.V. Taravella International Airport,COR
Inhambane Airport,INH
Innsbruck Airport,INN
Inverness Airport,INV
Ioannis Kapodistrias Airport,CFU
Iqaluit Airport,YFB
Ireland West Airport Knock,NOC
Irkutsk Airport,IKT
Isfahan International Airport,IFN
Isle of Man Airport,IOM
Ivano-Frankivsk International Airport,IFO
Ivato International Airport,TNR
Ixtapa-Zihuatanejo International Airport,ZIH
Jacksons International Airport,POM
Jacksonville International Airport,JAX
Jaime Gonzalez Airport,CFG
Jaipur International Airport,JAI
Jardines del Rey Airport,CCC
Jay Prakash Narayan International Airport,PAT
Jeju International Airport,CJU
Jerez Airport,XRY
Jersey Airport,JER
Jieyang Chaoshan International Airport,SWA
Jijel Ferhat Abbas Airport,GJL
Jinan Yaoqiang International Airport,TNA
Jinnah International Airport,KHI
Joao Paulo II Airport,PDL
Johan Adolf Pengel International Airport,PBM
John A. Osborne Airport,MNI
John C. Munro Hamilton International Airport,YHM
John F. Kennedy International Airport,JFK
John Paul II International Airport Krakow-Balice,KRK
John Wayne Airport,SNA
Jolly Grant Airport,DED
Jomo Kenyatta International Airport,NBO
Jorge Chavez International Airport,LIM
Jose Joaquin de Olmedo International Airport,GYE
Jose Maria Cordova International Airport,MDE
Jose Marti International Airport,HAV
Joshua Mqabuko Nkomo International Airport,BUQ
Juan Gualberto Gomez Airport,VRA
Juan Manuel Galvez International Airport,RTB
Juan Santamaria International Airport,SJO
Juanda International Airport,SUB
Juba International Airport,JUB
Julius Nyerere International Airport,DAR
Juneau International Airport,JNU
Kadala Airport,HTA
Kagoshima Airport,KOJ
Kalamata International Airport,KLX
Kalibo International Airport,KLO
Kandahar International Airport,KDH
Kangerlussuaq Airport,SFJ
Kannur International Airport,CNN
Kansai International Airport,KIX
Kansas City International Airport,MCI
Kaohsiung International Airport,KHH
Kapadokya Airport,NAV
Karaganda Airport,KGF
Karlovy Vary Airport,KLV
Karlsruhe/Baden-Baden Airport,FKB
Karnal Airport,KBS
Karpathos Island National Airport,AOK
Kasane Airport,BBK
Katowice International Airport,KTW
Kaunas Airport,KUN
Kavala International Airport,KVA
Kazan Airport,KZN
Kefalonia Island International Airport,EFL
Keflavik International Airport,KEF
Kelowna International Airport,YLW
Kempegowda International Airport,BLR
Kenmore Air Harbor Seaplane Base,LKE
Kenneth Kaunda International Airport,LUN
Kerry Airport,KIR
Ketchikan International Airport,KTN
Key West International Airport,EYW
Khabarovsk Novy Airport,KHV
Kharkiv International Airport,HRK
Khartoum International Airport,KRT
Khrabrovo Airport,KGD
Khujand Airport,LBD
Kigali International Airport,KGL
Kilimanjaro International Airport,JRO
King Abdulaziz International Airport,JED
King County International Airport,BFI
King Fahd International Airport,DMM
King Hussein International Airport,AQJ
King Khalid International Airport,RUH
King Mswati III International Airport,SHO
King Shaka International Airport,DUR
Kish Airport,KIH
Kismayo Airport,KMU
Kisumu International Airport,KIS
Kittila Airport,KTT
Klagenfurt Airport,KLU
Koltsovo International Airport,SVX
Komatsu Airport,KMQ
Komsomolsk-on-Amur Airport,KXK
Kona International Airport,KOA
Konya Airport,KYA
Kos Island International Airport,KGS
Kosice International Airport,KSC
Kosrae International Airport,KSA
Kostanay Airport,KSN
Kota Kinabalu International Airport,BKI
Kotoka International Airport,ACC
Krabi Airport,KBV
"Kristiansand Airport, Kjevik",KRS
"Kristiansund Airport, Kvernberget",KSU
Kruger Mpumalanga International Airport,MQP
Kryvyi Rih International Airport,KWG
Kuala Lumpur International Airport,KUL
Kuala Namu International Airport,KNO
Kuching International Airport,KCH
Kullu Manali International Airport,KUU
Kunming Changshui International Airport,KMG
Kuopio Airport,KUO
Kursk Vostochny Airport,URS
Kutaisi International Airport,KUT
